,country,date,cases
42514,China,11/18/20,98150
42515,China,11/18/21,122994
42516,China,11/18/22,3242270
42517,China,11/19/20,98185
42518,China,11/19/21,123041
42519,China,11/19/22,3295792
42520,China,11/2/20,97333
42521,China,11/2/21,121593
42522,China,11/2/22,2967572
42523,China,11/20/20,98240
42524,China,11/20/21,123076
42525,China,11/20/22,3329533
42526,China,11/21/20,98318
42527,China,11/21/21,123123
42528,China,11/21/22,3364415
42529,China,11/22/20,98407
42530,China,11/22/21,123169
42531,China,11/22/22,3373507
42532,China,11/23/20,98511
42533,China,11/23/21,123212
42534,China,11/23/22,3437108
42535,China,11/24/20,98598
42536,China,11/24/21,123252
42537,China,11/24/22,3449676
42538,China,11/25/20,98709
42539,China,11/25/21,123293
42540,China,11/25/22,3490482
42541,China,11/26/20,98796
42542,China,11/26/21,123339
42543,China,11/26/22,3533755
42544,China,11/27/20,98902
42545,China,11/27/21,123376
42546,China,11/27/22,3580291
42547,China,11/28/20,99000
42548,China,11/28/21,123441
42549,China,11/28/22,3627131
42550,China,11/29/20,99142
42551,China,11/29/21,123501
42552,China,11/29/22,3705990
42553,China,11/3/20,97411
42554,China,11/3/21,121714
42555,China,11/3/22,2976228
42556,China,11/30/20,99245
42557,China,11/30/21,123638
42558,China,11/30/22,3719252
42559,China,11/4/20,97565
42560,China,11/4/21,121827
42561,China,11/4/22,2984649
42562,China,11/5/20,97622
42563,China,11/5/21,121925
42564,China,11/5/22,2997306
42565,China,11/6/20,97684
42566,China,11/6/21,122022
42567,China,11/6/22,3002843
42568,China,11/7/20,97740
42569,China,11/7/21,122141
42570,China,11/7/22,3013968
42571,China,11/8/20,97816
42572,China,11/8/21,122228
42573,China,11/8/22,3026615
42574,China,11/9/20,97852
42575,China,11/9/21,122345
42576,China,11/9/22,3046538
42577,China,12/1/20,99336
42578,China,12/1/21,123725
42579,China,12/1/22,3764783
42580,China,12/10/20,100405
42581,China,12/10/21,124673
42582,China,12/10/22,4097741
42583,China,12/11/20,100509
42584,China,12/11/21,124751
42585,China,12/11/22,4123336
42586,China,12/12/20,100617
42587,China,12/12/21,124856
42588,China,12/12/22,4146984
42589,China,12/13/20,100737
42590,China,12/13/21,124925
42591,China,12/13/22,4167941
42592,China,12/14/20,100844
42593,China,12/14/21,125012
42594,China,12/14/22,4182811
42595,China,12/15/20,100959
42596,China,12/15/21,125112
42597,China,12/15/22,4199891
42598,China,12/16/20,101056
42599,China,12/16/21,125216
42600,China,12/16/22,4215617
42601,China,12/17/20,101170
42602,China,12/17/21,125363
42603,China,12/17/22,4221819
42604,China,12/18/20,101267
42605,China,12/18/21,125475
42606,China,12/18/22,4239659
42607,China,12/19/20,101415
42608,China,12/19/21,125623
42609,China,12/19/22,4275828
42610,China,12/2/20,99458
42611,China,12/2/21,123839
42612,China,12/2/22,3837220
42613,China,12/20/20,101521
42614,China,12/20/21,125695
42615,China,12/20/22,4290905
42616,China,12/21/20,101635
42617,China,12/21/21,125835
42618,China,12/21/22,4313898
42619,China,12/22/20,101728
42620,China,12/22/21,125958
42621,China,12/22/22,4337428
42622,China,12/23/20,101811
42623,China,12/23/21,126065
42624,China,12/23/22,4361840
42625,China,12/24/20,101909
42626,China,12/24/21,126233
42627,China,12/24/22,4386235
42628,China,12/25/20,102002
42629,China,12/25/21,126319
42630,China,12/25/22,4410207
42631,China,12/26/20,102102
42632,China,12/26/21,126559
42633,China,12/26/22,4434075
42634,China,12/27/20,102207
42635,China,12/27/21,126937
42636,China,12/27/22,4458006
42637,China,12/28/20,102311
42638,China,12/28/21,127161
42639,China,12/28/22,4484059
42640,China,12/29/20,102389
42641,China,12/29/21,127390
42642,China,12/29/22,4514557
42643,China,12/3/20,99570
42644,China,12/3/21,123956
42645,China,12/3/22,3851748
42646,China,12/30/20,102481
42647,China,12/30/21,127623
42648,China,12/30/22,4549736
42649,China,12/31/20,102571
42650,China,12/31/21,127896
42651,China,12/31/22,4584205
42652,China,12/4/20,99709
42653,China,12/4/21,124034
42654,China,12/4/22,3892221
42655,China,12/5/20,99839
42656,China,12/5/21,124123
42657,China,12/5/22,3931982
42658,China,12/6/20,99945
42659,China,12/6/21,124262
42660,China,12/6/22,3967054
42661,China,12/7/20,100043
42662,China,12/7/21,124346
42663,China,12/7/22,4004311
42664,China,12/8/20,100159
42665,China,12/8/21,124447
42666,China,12/8/22,4039789
42667,China,12/9/20,100275
42668,China,12/9/21,124549
42669,China,12/9/22,4070575
42670,China,2/1/20,11891
42671,China,2/1/21,107902
42672,China,2/1/22,134564
42673,China,2/1/23,4903498
42674,China,2/10/20,42354
42675,China,2/10/21,108365
42676,China,2/10/22,139968
42677,China,2/10/23,4903516
42678,China,2/11/20,44386
42679,China,2/11/21,108414
42680,China,2/11/22,141448
42681,China,2/11/23,4903517
42682,China,2/12/20,44759
42683,China,2/12/21,108450
42684,China,2/12/22,143060
42685,China,2/12/23,4903517
42686,China,2/13/20,59895
42687,China,2/13/21,108482
42688,China,2/13/22,144519
42689,China,2/13/23,4903517
42690,China,2/14/20,66358
42691,China,2/14/21,108519
42692,China,2/14/22,146700
42693,China,2/14/23,4903517
42694,China,2/15/20,68413
42695,China,2/15/21,108551
42696,China,2/15/22,148461
42697,China,2/15/23,4903520
42698,China,2/16/20,70513
42699,China,2/16/21,108575
42700,China,2/16/22,152856
42701,China,2/16/23,4903520
42702,China,2/17/20,72434
42703,China,2/17/21,108607
42704,China,2/17/22,159083
42705,China,2/17/23,4903520
42706,China,2/18/20,74211
42707,China,2/18/21,108645
42708,China,2/18/22,162889
42709,China,2/18/23,4903521
42710,China,2/19/20,74619
42711,China,2/19/21,108674
42712,China,2/19/22,169170
42713,China,2/19/23,4903521
42714,China,2/2/20,16630
42715,China,2/2/21,107961
42716,China,2/2/22,134745
42717,China,2/2/23,4903503
42718,China,2/20/20,75077
42719,China,2/20/21,108707
42720,China,2/20/22,175417
42721,China,2/20/23,4903521
42722,China,2/21/20,75550
42723,China,2/21/21,108743
42724,China,2/21/22,183114
42725,China,2/21/23,4903523
42726,China,2/22/20,77001
42727,China,2/22/21,108775
42728,China,2/22/22,189565
42729,China,2/22/23,4903523
42730,China,2/23/20,77022
42731,China,2/23/21,108807
42732,China,2/23/22,198478
42733,China,2/23/23,4903523
42734,China,2/24/20,77241
42735,China,2/24/21,108839
42736,China,2/24/22,207599
